date,maxtemp,mintemp,rain,wind,sun
30-Nov-21,10.7,7.9,4.3,14.4,0.1
01-Dec-21,8,1.1,0.5,16.4,2.8
02-Dec-21,8,0.9,8.2,8.5,2.6
03-Dec-21,9,5.8,1.3,8,0
04-Dec-21,6,1.6,0.1,16.6,6.1
05-Dec-21,6.4,-0.3,0,8.7,6.4
06-Dec-21,7.3,1.9,2.4,10.5,4.8
07-Dec-21,8.6,1.8,10.8,16.8,2.1
08-Dec-21,5.7,1.9,8.5,24.4,0.1
09-Dec-21,9.3,2.5,0.2,10.6,0.1
10-Dec-21,5.9,1.1,0,11.8,6.3
11-Dec-21,12.7,5.1,1.8,6.5,0
12-Dec-21,13.6,7.6,0.5,10.8,0.4
13-Dec-21,7.9,0.4,0,4,0
14-Dec-21,9,-1.4,0,7.5,6.5
15-Dec-21,11.2,7.3,0,8.5,6.2
16-Dec-21,11.6,5.4,0,3.8,1.8
17-Dec-21,9.3,5.7,0,7,0
18-Dec-21,8.5,3.7,0,5.3,0.7
19-Dec-21,7.5,3.3,0,6,0
20-Dec-21,7.2,5.7,0,7.1,0
21-Dec-21,6.6,4.8,0,9.3,0
22-Dec-21,10.3,5.2,6.6,12.8,0
23-Dec-21,13,4.3,0,7.4,2.6
24-Dec-21,9.9,1.7,2.2,7.2,0
25-Dec-21,8.9,6.3,20.1,14.2,0
26-Dec-21,9.9,1.5,0.9,4.6,2.2
27-Dec-21,9.1,0.1,0.1,6.5,0
28-Dec-21,8,3.5,10.2,6.9,2.5
29-Dec-21,13.8,5.5,3,11.5,3.1
30-Dec-21,13.5,11.3,8.2,7.6,0
31-Dec-21,14.1,10.9,0.3,11.2,1.8
